name,duid,bus_name,area,energy_rating,energy,bus_index,charge_efficiency,year_added,datetime
WDBESS1,WDBESS1,bus_3605,11,5.1,3.5,1261,0.9,2025,2025-12-01
MREHA2,MREHA2,bus_2208,6,4.0,2.0,1532,0.9,2025,2025-12-01
KESSB1,KESSB1,bus_2145,6,3.7,1.85,1894,0.9,2025,2025-12-01
HPR1,HPR1,bus_4133,13,1.783,0.8,800,0.9,2025,2025-12-01
RANGEB1,RANGEB1,bus_2121,7,5.0,2.5,310,0.9,2025,2025-12-01
BLYTHB1,BLYTHB1,bus_4137,13,4.0,1.0,404,0.9,2025,2025-12-01
VBB1,VBB1,bus_2108,6,5.0,2.5,1109,0.9,2025,2025-12-01
Coordinated_CER_storage_4,Coordinated CER storage,bus_5116,15,0.22332048,0.22332048,1366,0.9,2025,2025-12-01
MREHA1,MREHA1,bus_2208,6,4.0,2.0,1532,0.9,2025,2025-12-01
Shallow_storage_3,Shallow storage,bus_3039,9,29.4212,29.4212,1843,0.9,2025,2025-12-01
HVWWBA1,HVWWBA1,bus_4094,13,0.0882,0.035,1171,0.9,2025,2025-12-01
Shallow_storage_4,Shallow storage,bus_2109,6,41.1578138941,41.1578138941,803,0.9,2025,2025-12-01
HBESS1,HBESS1,bus_2127,6,1.5,1.5,1396,0.9,2025,2025-12-01
MANNUMB1,MANNUMB1,bus_4114,13,2.0,1.0,261,0.9,2025,2025-12-01
LVES1,LVES1,bus_2164,6,2.0,1.0,1883,0.9,2025,2025-12-01
WALGRV1,WALGRV1,bus_1550,2,0.75,0.5,593,0.9,2025,2025-12-01
ADPBA1,ADPBA1,bus_4107,13,0.126,0.05,1551,0.9,2025,2025-12-01
BOWWBA1,BOWWBA1,bus_4112,13,0.0504,0.01,402,0.9,2025,2025-12-01
Coordinated_CER_storage_5,Coordinated CER storage,bus_2111,6,7.0428656,7.0428656,1591,0.9,2025,2025-12-01
BUNGAMB1,BUNGAMB1,bus_4117,13,3.0,1.0,280,0.9,2025,2025-12-01
GREENB1,GREENB1,bus_3568,11,4.0,3.0,636,0.9,2025,2025-12-01
LBB1,LBB1,bus_4109,13,0.52,0.2,1778,0.9,2025,2025-12-01
BRNDBES1,BRNDBES1,bus_3498,9,4.1,3.0,1505,0.9,2025,2025-12-01
WANDB1,WANDB1,bus_3582,11,1.5,1.5,1084,0.9,2025,2025-12-01
ULPBESS1,ULPBESS1,bus_3546,11,2.98,2.0,1429,0.9,2025,2025-12-01
Passive_CER_storage_4,Passive CER storage,bus_1189,2,14.014731763400002,14.014731763400002,170,0.9,2025,2025-12-01
WTAHB1,WTAHB1,bus_1550,2,16.8,8.0,593,0.9,2025,2025-12-01
Passive_CER_storage_5,Passive CER storage,bus_3534,11,8.06067363775,8.06067363775,1903,0.9,2025,2025-12-01
WDBESS2,WDBESS2,bus_3605,11,5.1,3.5,1261,0.9,2025,2025-12-01
DALNTH1,DALNTH1,bus_4143,13,0.9,0.5,393,0.9,2025,2025-12-01
ERBO1,ERBO1,bus_1090,2,21.03,10.0,1632,0.9,2025,2025-12-01
GANNB1,GANNB1,bus_2082,5,1.0,0.5,1293,0.9,2025,2025-12-01
