area,base_kv,bus_i,name,state,va,vm,x,y,number,angle,magnitude
9,132.0,172,bus_3217,3,-0.0256036323913969,1.080837605594399,616.0,5044.0,172,0.2355939780354387,1.1173214175683546
12,11.0,333,bus_4493,4,0.7598837476165337,1.10000001064608,-3398.0,-1834.0,333,-0.6096948568505446,1.349171471158065
2,330.0,363,bus_1155,1,-0.09901860515804,1.0468755876733495,368.0,-101.0,363,-0.0473334882699435,1.0683520287221824
9,275.0,1296,bus_3556,3,-0.2457559678302751,1.079946144841311,-353.0,3865.0,1296,-0.0301541448754449,1.0882368558417872
2,132.0,1721,bus_1454,1,-0.0639477247369561,1.0347145566850813,1758.0,1455.0,1721,-0.0217423099326833,1.100292440304932
15,11.0,550,bus_5205,5,-0.1460822283361641,1.0275643970040609,1849.0,-6287.0,550,0.4600913571213064,1.0342962972009064
2,500.0,341,starbus_xf_1121_1123_1634_6,1,-0.0789011191681935,1.0065009245403722,725.0,112.0,341,-0.0531410982555471,1.007961690421138
4,33.0,664,bus_1537,1,-0.095678381687959,1.083924832986157,915.0,-2259.0,664,0.0862921774242463,1.1847953166993124
8,33.0,912,bus_3070,3,-0.3156871124779273,1.0476863577552626,-196.0,6159.0,912,-0.1311677510275978,1.0439876751299435
5,33.0,1748,bus_1319,1,-0.2156817728952656,1.034386311923214,624.0,-2357.0,1748,-0.4887963178293915,0.7858014489558697
5,33.0,1966,bus_2268,2,0.0489597610932812,1.0402092872830264,10.0,-3687.0,1966,0.8092788220715197,1.351812534055702
6,0.6899999999999998,1990,bus_2011,2,-0.1475271959912444,1.100000005402845,-3.0,-3934.0,1990,0.3140402111684622,1.3785481524011227
2,132.0,1598,bus_1129,1,-0.3565425581440695,1.05141900865057,764.0,-346.0,1598,-0.3838332177137929,0.9939947687913296
13,66.0,1685,bus_4288,4,0.9668886939009208,1.023229891590525,-2148.0,-2427.0,1685,0.0461286741726131,1.3944730667599574
11,110.0,598,starbus_xf_3134_3135_3136_2,3,-0.3922895720343691,1.0480074693224335,-549.0,2437.0,598,-0.2722817344056017,1.011596038859663
4,11.0,1318,bus_1067,1,-0.032466534523989,0.95234626069625,1761.0,-2378.0,1318,-0.0107081931522313,0.8374056790838231
2,132.0,14,bus_1234,1,-0.3316535946862748,1.0366595591793213,33.0,394.0,14,-0.2236026851201494,1.0595504776893234
6,66.0,167,bus_2216,2,-0.2477955487377175,1.011017430128594,91.0,-3833.0,167,0.0519414233062841,1.4137588746411849
11,13.8,613,bus_3429,3,-0.1750011124268005,1.0453799341042391,-59.0,3661.0,613,-0.017474567297879,1.0453869815816976
1,132.0,643,bus_1444,1,-0.2394567006561566,1.0414293770050045,1814.0,1949.0,643,-0.0697629302548558,1.103373595799883
13,66.0,1052,starbus_xf_4038_4034_4033_3,4,0.983652107028646,0.973660898487323,-2634.0,-2675.0,1052,0.06644165789899,1.263423542035538
13,11.0,1121,bus_4422,4,0.9103496214012684,0.9901901513211792,-2467.0,-2697.0,1121,-0.1288585549058901,1.2942302428732784
1,132.0,1556,bus_1335,1,-0.120163392825136,1.044039146623859,2031.0,2351.0,1556,0.0158035630570986,1.0440391538258122
12,11.0,96,bus_4402,4,0.7467907299088412,1.0140752553994403,-3245.0,-1797.0,96,-0.6650603463152017,1.191786086098812
11,110.0,456,bus_3412,3,-0.3299988239489794,1.051384631148032,172.0,2956.0,456,-0.2319583669399024,0.972769437769944
4,330.0,510,bus_1106,1,-0.0957738983803813,1.083756780573771,963.0,-2129.0,510,0.0864039633475828,1.1845195277998355
12,11.0,257,bus_4404,4,0.7752838565366525,1.009019158167472,-3241.0,-1776.0,257,-0.5555941740841626,1.2271135934153887
7,10.5,1078,bus_2032,2,-0.3000297832769528,0.9695676818519524,1337.0,-4214.0,1078,0.1715442971289197,1.12603196737968
9,66.0,1922,bus_3022,3,-0.2361732275849481,1.0967510317038636,-885.0,4213.0,1922,-0.0100298446805744,1.1028341728834383
11,11.0,19,bus_3327,3,-0.430010023333893,1.008704556000675,-844.0,2103.0,19,-0.2848760645134309,1.06223244112197
5,330.0,1754,bus_2195,2,-0.1025595968827245,1.0472345426591838,1013.0,-1994.0,1754,0.180072185972337,1.0848072797114825
6,500.0,2013,bus_txf_WNV MEL Option 1 VNI West,2,0.0,1.0,,,2013,0.1220410682111489,1.5573131414201529
14,66.0,673,bus_4305,4,0.9695111554918588,1.041995795982672,-1601.0,-3380.0,673,0.1224325020880662,1.4791614796395212
11,110.0,1502,bus_3324,3,-0.3319410957477666,1.049288308891645,-781.0,2170.0,1502,-0.1372574127284568,1.1321451971878174
13,11.0,925,bus_4495,4,0.4386145976435935,0.905315364637092,-2187.0,-796.0,925,-0.7309143564666407,0.905315420318485
5,220.0,1824,starbus_xf_2162_2271_2315_5,2,-0.0439211326360074,1.1000000105201977,237.0,-2547.0,1824,0.0119046602409721,1.2830573811022457
11,330.0,1785,bus_3648,3,0.0484281518093219,1.0807642046022945,1003.0,3236.0,1785,-0.0621366961040828,1.1156133871710403
2,33.0,197,bus_1571,1,-0.2506840555990891,1.0815484242312647,592.0,-338.0,197,-0.0765903703644275,1.1323710051989977
6,22.0,1545,bus_2321,2,-0.4726637977652175,1.0708279513393728,880.0,-3719.0,1545,0.1095957169087211,1.1203444422895072
15,11.0,401,bus_5210,5,-0.1295301337004843,1.0205207962256524,1512.0,-6485.0,401,0.4548336901189403,1.016110879105306
14,11.0,1804,bus_4443,4,0.938794949087011,1.0070137111258584,-2318.0,-3521.0,1804,0.1030876190846094,1.5433127497369463
4,66.0,276,bus_1588,1,-0.0711178249443202,1.0992083481874448,1210.0,-2379.0,276,0.1422959941919175,1.113710914428254
8,132.0,778,bus_3199,3,-0.3542003064418222,1.0283402277843294,-461.0,6663.0,778,-0.1736014453588805,1.0243505583540995
13,66.0,1973,bus_4241,4,0.9861696958093464,1.025017737691306,-2313.0,-2476.0,1973,0.0647552625101191,1.4283208457665753
11,132.0,21,bus_1304,1,-0.6076111973944772,1.073001075665729,1548.0,1424.0,21,-0.3935984122610658,1.073001076866546
2,66.0,83,bus_1625,1,-0.2373545180876546,1.040602000169125,329.0,-115.0,83,-0.0628142466122659,1.088399718054312
2,132.0,244,bus_1254,1,-0.3386727353811842,1.04364950471473,673.0,-588.0,244,-0.3628955378555945,0.9855342917669336
4,132.0,582,bus_1199,1,-0.081858725695321,1.0723766136022048,944.0,-1807.0,582,0.1487634035575078,1.4827749062123603
15,11.0,1043,bus_5184,5,-0.0989409813980174,1.0635548928830572,1365.0,-5918.0,1043,1.0228769028596538,0.9274500368433248
5,500.0,2011,bus_txf_SNSW WNV Option 1 VNI West,2,0.0,1.0,,,2011,0.1086384781023535,1.2716661166376229
8,66.0,868,bus_3276,3,-0.3610426091763077,1.0398328438481848,-442.0,6940.0,868,-0.2052557754984748,1.035049901143845
13,275.0,2025,connection S9,4,0.0,1.0,,,2025,0.1278560096711656,1.7819798468948351
11,110.0,558,bus_3471,3,-0.3193729448613225,1.0571902657771548,22.0,2930.0,558,-0.2111908398935867,0.995417578135462
9,110.0,1540,bus_3237,3,-0.3341487403637394,1.0532547928623484,28.0,4285.0,1540,-0.0925238905337944,1.0532547102365426
8,132.0,1974,bus_3141,3,-0.3350434586024894,1.0254544196970783,-645.0,6756.0,1974,-0.1691352842533974,1.0219981790279575
6,66.0,1938,bus_2229,2,-0.1314465722475488,1.0529798960693917,994.0,-2933.0,1938,0.2374955818704716,1.1495745039168408
11,110.0,871,bus_3334,3,-0.3060254704102123,1.0458260475670444,-891.0,3478.0,871,-0.191733778010003,1.0221213706622958
15,11.0,545,bus_5211,5,-0.2140164560774672,1.0094712958011107,1462.0,-6530.0,545,0.3681432226132063,1.0040195781414896
2,0.55,3,bus_1000,1,-0.2349782206058739,1.0865732187277566,-238.0,-725.0,3,-0.0667491099856492,1.143073166594533
4,132.0,1615,bus_1324,1,-0.038016197913046,1.099192566960744,758.0,-1418.0,1615,1.8339808241618245,0.3682418957522498
11,110.0,81,starbus_xf_3359_3360_3361_3,3,-0.3384004677191405,1.045518538332595,-1009.0,3506.0,81,-0.2508252007877191,0.9991966423350396
13,11.0,1968,bus_4457,4,0.900417063961352,1.1000000109401415,-2087.0,-2335.0,1968,-0.2281713659878755,0.9199571519262782
12,33.0,987,bus_4368,4,1.140557206770924,1.0116001533784718,-2979.0,-1308.0,987,0.1330649261210622,1.5484965718457324
12,132.0,964,starbus_xf_4166_4356_4491_3,4,1.0223061992500286,0.9387673649966152,-3903.0,-1767.0,964,0.1399745955845687,1.3401239808752323
11,110.0,1516,bus_3170,3,-0.0848270202751952,1.0449219017487026,-345.0,2971.0,1516,-0.0476047330659599,1.1534135479985812
2,330.0,751,bus_1105,1,-0.153138413887704,1.033260213984296,985.0,-570.0,751,-0.1443009898568676,0.996442262889618
15,110.0,1070,bus_5113,5,-0.1869018742467643,1.0112838829085105,1630.0,-5662.0,1070,0.6036639432364277,1.0152554423140994
9,110.0,1169,bus_3315,3,-0.3125094365238433,1.056947740796655,-390.0,4237.0,1169,-0.0747710538944308,1.0750663387174573
5,11.0,1493,bus_1010,1,-0.0354482465177254,1.0825243183904896,293.0,-3086.0,1493,0.1229667107172012,1.1222852737598328
8,132.0,1019,bus_3143,3,-0.512389673415454,1.0099004925632833,-1121.0,7237.0,1019,-0.204723017180997,1.0099228092905672
14,66.0,1684,bus_4243,4,1.0499265437365717,1.0068971706698608,-1970.0,-3309.0,1684,0.1219525786123252,1.5186389823087714
10,132.0,1334,bus_3618,3,-0.107896879906374,1.072141898585632,1758.0,4394.0,1334,-0.8945002941716416,0.7416988439931115
15,16.0,1897,bus_5040,5,-0.0471149566463263,1.013267281999385,1683.0,-5645.0,1897,0.7195329534616717,1.0132675691641573
15,11.5,303,bus_5014,5,-0.318929701160054,1.0137096546156954,1358.0,-5358.0,303,0.5323861647318738,1.013881654038246
11,33.0,1434,bus_3505,3,-0.3665935429753687,0.994897557379825,56.0,2787.0,1434,-0.2922102837986133,0.9297082383572148
9,500.0,2001,bus_fxf_500 kV NQCQ backbone double-circuit,3,0.0,1.0,,,2001,-0.1137945958533231,1.0441558016836276
15,220.0,1710,bus_5161,5,-0.0002689258619144,1.0401919430698665,1478.0,-6194.0,1710,0.3877326395200308,1.0105097855503575
6,0.6899999999999998,1210,bus_2010,2,0.0163640929520354,1.100000003687582,-25.0,-3913.0,1210,1.0265406760591005,1.1000004069463
14,66.0,704,bus_4255,4,1.018050329937929,1.0035015154586548,-2167.0,-3336.0,704,0.1144132647061263,1.5146092798574735
14,16.0,1882,bus_4064,4,1.2813075338459194,1.0456730015684812,-1778.0,-2620.0,1882,0.1403182065140296,1.457211385140748
11,110.0,1837,bus_3413,3,-0.3382426176333413,1.0474988878511744,313.0,2958.0,1837,-0.2476356510920841,0.9576083702100714
14,66.0,1468,bus_4268,4,1.010882771605736,1.006226232136439,-2189.0,-3543.0,1468,0.1122982180395049,1.510309297632057
11,33.0,117,bus_3057,3,-0.1459551450169366,1.010344283104773,-579.0,2961.0,117,-0.1164385670103708,1.0903507030772563
7,11.0,1166,bus_2070,2,-0.3508542821846271,1.067043014188034,1345.0,-4754.0,1166,0.1727993625051742,1.0670427794938926
7,10.5,1864,bus_2035,2,-0.3000968148696459,0.9694976974396085,1317.0,-4224.0,1864,0.1714936524542819,1.1259705653082654
4,132.0,1050,bus_1296,1,-0.1307816206550219,1.08252260319495,629.0,-1107.0,1050,-0.0168753575744817,1.0598186349900798
3,132.0,1423,bus_1460,1,-0.346119046100492,1.0533202388320215,1113.0,-471.0,1423,-0.3999527509661956,0.976995982912922
9,132.0,499,bus_3051,3,-0.0306378732473343,1.073698395874784,659.0,5054.0,499,0.2329955175193024,1.1113218991667366
13,11.0,1542,bus_4453,4,0.9546086864262636,1.0283058940973022,-2227.0,-2610.0,1542,0.0177496837153647,1.4179885692156131
8,66.0,1432,bus_3115,3,-0.352996393590093,1.0032198661947511,-950.0,6140.0,1432,-0.082665254242204,0.9985715700165368
9,275.0,852,bus_3611,3,-0.0158485034963662,1.0772776068992944,-454.0,4846.0,852,0.1613171459721838,1.044260641624394
10,275.0,1145,bus_3616,3,0.0076887009722067,1.0836011352729735,1068.0,3851.0,1145,-0.16179960384354,1.03374107635752
12,132.0,176,bus_4165,4,0.9939627657256718,1.0169359113512018,-3288.0,-1647.0,176,0.0748154563232001,1.5985820261442896
1,66.0,182,bus_1651,1,-0.3548290263927442,1.0310615374212455,-1124.0,2030.0,182,-0.1539392679239331,1.1257835161415386
9,33.0,1199,bus_3351,3,-0.375497494383937,0.9548183934773892,-33.0,4111.0,1199,-0.1199702937135709,0.9697382555121752
1,11.0,894,bus_1557,1,-0.3240776128960599,1.0395680090532622,844.0,1491.0,894,-0.0939289455403598,1.1069767467342482
6,11.0,1083,bus_2016,2,-0.2606082083007111,0.9661770833762836,845.0,-3349.0,1083,0.1808413357413968,1.1535889729125712
8,66.0,1231,bus_3283,3,-0.35869489270832,1.0428883302973562,-497.0,6898.0,1231,-0.2022449414889344,1.0380862353457856
6,0.6899999999999998,1675,bus_2072,2,0.1968591217749535,1.0705643472323962,35.0,-4579.0,1675,0.389856691889151,1.070823380902785
2,66.0,1720,bus_1502,1,-0.2927313377444217,1.042308083717704,178.0,981.0,1720,-0.112666393462745,1.0724961529699777
10,15.0,1758,bus_3437,3,0.044334033430001,1.0330356227386954,1100.0,3549.0,1758,-0.0828035499481921,1.055509261281166
13,66.0,1780,bus_4276,4,0.9769358022991872,1.0227060216853845,-2075.0,-2558.0,1780,0.0719807985544337,1.4266875898017175
4,132.0,1939,bus_1317,1,-0.1675320301784457,1.0803731424613825,816.0,-2090.0,1939,-0.1294738673300997,0.942675227041612
4,33.0,554,bus_1650,1,-0.1789070050248438,1.0770808307337452,911.0,-2041.0,554,-0.0071911322076814,1.1312221653131065
13,132.0,623,bus_4202,4,0.9121406932842294,1.0039651925975015,-1611.0,-2026.0,623,0.0934850507047476,1.4458606874436073
8,22.0,249,bus_3197,3,-0.2789498813694623,1.0601571523998785,-605.0,5940.0,249,-0.058129918366668,1.0594717265047446
6,66.0,485,bus_2226,2,-0.4449093195981474,0.9958065803943889,279.0,-4035.0,485,0.1011415139616899,1.446055613784237
11,275.0,636,bus_3568,3,0.0032642236330225,1.0859697702374804,165.0,3514.0,636,0.0218502148737078,1.197020361042682
11,110.0,1239,starbus_xf_3134_3135_3136_1,3,-0.3964711138308709,1.046982432822582,-549.0,2437.0,1239,-0.2800644852182699,1.0087641514524923
6,66.0,1736,bus_2238,2,-0.4509378419414634,1.0063466087819426,314.0,-4087.0,1736,0.175510282409144,1.0063473885963508
14,33.0,1659,bus_4389,4,0.4602252767415493,0.8999999902427821,-1243.0,-1976.0,1659,0.1079399220622893,1.3551672219757145
1,66.0,1290,bus_1578,1,-0.0930559615133863,1.044753325203719,2502.0,2560.0,1290,0.0817829394091001,1.055775619745976
9,66.0,1613,bus_3188,3,-0.2323915608446887,1.0197796354141044,-932.0,4432.0,1613,-0.0005432530947849,1.029518170090584
15,6.6,346,bus_5174,5,-0.1375686615918098,0.9971532951341308,1961.0,-6383.0,346,0.4545292748801854,0.9916410945041614
15,110.0,1149,bus_5104,5,-0.1195791617899881,1.0239558177965575,1545.0,-6429.0,1149,0.4650284738611194,1.0196127208543964
11,33.0,542,bus_3100,3,-0.1350860900861706,1.0405129969654143,-500.0,2976.0,542,-0.1183026016555526,1.1339772137974742
14,66.0,638,bus_4262,4,1.042507158541615,1.0121585924635226,-2125.0,-3304.0,638,0.123005745279597,1.5181018580578154
9,275.0,389,bus_3612,3,0.0554785342628852,1.0798299394286923,921.0,3575.0,389,-0.0490876104374628,1.1326512709892933
2,11.5,966,bus_1089,1,0.0267570692265762,1.1000000099604912,1860.0,1245.0,966,-0.0036112449413741,1.128930733680592
11,110.0,1220,bus_3402,3,-0.3435862910168961,1.0447068358570684,435.0,3166.0,1220,-0.2581555373992949,0.9479241205831772
10,275.0,1223,bus_3617,3,-0.0819526202286598,1.0757284129183189,1622.0,4261.0,1223,-0.6528229939405392,0.8187393185250964
11,11.0,1923,bus_3309,3,-0.4826870439599938,0.9677875553497554,-1186.0,2079.0,1923,-0.3708125619903406,0.9906578060266522
6,66.0,219,bus_2250,2,-0.4080476432571291,1.0586479797021409,460.0,-3926.0,219,0.1460120321845432,1.359501995100531
15,11.0,559,bus_5229,5,-0.037482770987753,1.03150864393549,1918.0,-5569.0,559,0.8548722799226972,1.031510117155436
5,22.0,1288,bus_2332,2,-0.1668567166913126,1.040733025530843,765.0,-2329.0,1288,-0.1526781915707292,0.924910807083953
4,66.0,1132,bus_1504,1,-0.1421812458044826,1.0866306276779791,593.0,-1175.0,1132,-0.0268976729489864,1.0633606645547626
1,66.0,1985,bus_1616,1,-0.0450279175637932,1.0125812335645503,2815.0,2889.0,1985,0.1995781085811928,1.0157622181357668
9,132.0,1592,bus_3116,3,-0.283843165870088,1.056144755328905,-754.0,4050.0,1592,-0.0500905052615142,1.071414485863267
13,33.0,203,bus_4386,4,0.8094492926402644,0.9599837390683936,-1471.0,-1726.0,203,-0.018695902059256,1.3548520145004286
2,330.0,1212,bus_1153,1,-0.1555290147039915,1.0227194903791172,997.0,1100.0,1212,-0.0207335936753041,1.0602533825681493
8,66.0,1313,bus_3375,3,-0.3610718384743721,1.0415445781298065,-357.0,7043.0,1313,-0.2004535629880775,1.0388118980149672
14,11.0,1997,bus_4442,4,0.9507698401758328,0.9983484953796996,-2244.0,-3630.0,1997,0.1050165843879971,1.5259757894157624
15,22.0,1876,bus_5195,5,-0.0504085863085753,1.051478778371928,2125.0,-6234.0,1876,0.5649807988652413,1.046607181224071
15,110.0,157,bus_5083,5,-0.0615238204450893,1.0353519529132829,2081.0,-6304.0,157,0.538289079029843,1.0298665226593615
11,110.0,799,bus_3404,3,-0.3275608875039035,1.05236308766553,-777.0,2249.0,799,-0.130913742791492,1.1373415713831558
9,132.0,1110,bus_3009,3,-0.2523902556727724,1.0540161157663557,-813.0,4068.0,1110,-0.025169523764083,1.0646265886145467
15,13.2,1942,bus_5018,5,-0.1597273372740304,1.058600302321909,1660.0,-5378.0,1942,0.6933447092207369,1.0586000787896734
15,22.0,1969,bus_5182,5,-0.1104512567833529,1.0586441064236127,1369.0,-5783.0,1969,1.007569787570291,0.9208012754370166
8,132.0,1049,bus_3262,3,-0.3131676208341474,1.0203616121529038,-734.0,5910.0,1049,-0.0790213343877934,1.018844833406671
6,66.0,1460,bus_2282,2,-0.3818450980276543,1.006363912022418,101.0,-4289.0,1460,0.0892758697855708,1.516552343071989
4,330.0,793,bus_1148,1,0.0573556082646559,1.0363754704524413,1369.0,-1490.0,793,0.2312582246863761,1.0481743934447894
2,33.0,57,bus_1602,1,0.0267570692265759,1.119812605350727,1770.0,1218.0,57,-0.0036112472726503,1.149264413161803
9,275.0,165,bus_3569,3,-0.1132035884847837,1.0848001547752268,-204.0,5136.0,165,0.0908958627297942,1.0631947042250325
1,110.0,876,bus_1218,1,-0.3221379985435246,1.0494523263951645,-1185.0,2158.0,876,-0.1414222012579796,1.1412277589692863
2,33.0,1075,bus_1525,1,-0.204389249898697,0.981739470116375,713.0,160.0,1075,-0.1797215313652797,0.9669891632812264
15,110.0,1162,bus_5131,5,-0.1254970821227123,1.0283890427151448,2051.0,-6104.0,1162,0.4784661317100724,1.046598453223279
4,500.0,2012,bus_fxf_SNSW WNV Option 1 VNI West,1,0.0,1.0,,,2012,0.0611018105493508,1.0522467141602032
