name,number_from,name_from,base_voltage_from,angle_from,magnitude_from,area_from,number_to,name_to,base_voltage_to,angle_to,magnitude_to,area_to,line_type,rating,x_from,y_from,x_to,y_to,geometry
bus_3614-bus_3615-i_line_3614_to_3615_2_cp,1282,bus_3614,275.0,-0.06901701155337339,1.07688371479203,10,48,bus_3615,275.0,-0.025526222709618678,1.0805926920813815,10,ac,553.0,895,4111,621,3932,"LINESTRING (895 4111, 621 3932)"
bus_3607-bus_3615-i_line_3607_to_3615_1_cp,1307,bus_3607,275.0,0.025085707204655285,1.0839592967634086,10,48,bus_3615,275.0,-0.025526222709618678,1.0805926920813815,10,ac,575.0,380,3765,621,3932,"LINESTRING (380 3765, 621 3932)"
bus_1183-bus_1380-i_line_1183_to_1380_1_cp,169,bus_1183,132.0,-0.21727407253276435,1.070879306516803,1,51,bus_1380,132.0,-0.225695228386687,1.0647610767581202,1,ac,185.0,820,1294,808,1383,"LINESTRING (820 1294, 808 1383)"
bus_1203-bus_1380-i_line_1203_to_1380_1_cp,295,bus_1203,132.0,-0.22896164310655648,1.0619195413433278,1,51,bus_1380,132.0,-0.225695228386687,1.0647610767581202,1,ac,192.0,786,1440,808,1383,"LINESTRING (786 1440, 808 1383)"
bus_4303-bus_4306-i_line_4303_to_4306_2_cp,470,bus_4303,66.0,0.9712713875080043,1.0438544945930532,14,53,bus_4306,66.0,0.9712397701181096,1.0439237890336623,14,ac,61.0,-1601,-3239,-1608,-3338,"LINESTRING (-1601 -3239, -1608 -3338)"
bus_1531-bus_1602-i_line_1531_to_1603_1_cp,1224,bus_1531,33.0,0.026173224820908468,1.1189890323780725,2,57,bus_1602,33.0,0.026757069226575957,1.1198126053507267,2,ac,46.0,1701,1233,1770,1218,"LINESTRING (1701 1233, 1770 1218)"
bus_1544-bus_1602-i_line_1544_to_1603_1_pi,1589,bus_1544,33.0,0.03025923089237701,1.1244877595322023,2,57,bus_1602,33.0,0.026757069226575957,1.1198126053507267,2,ac,49.0,1393,1164,1770,1218,"LINESTRING (1393 1164, 1770 1218)"
bus_1189-bus_1371-i_line_1189_to_1371_1_cp,170,bus_1189,132.0,-0.32658829402484385,1.0491512002520478,2,64,bus_1371,132.0,-0.3355215844546573,1.0445307386160738,2,ac,216.0,732,-450,683,-534,"LINESTRING (732 -450, 683 -534)"
bus_1254-bus_1371-i_line_1254_to_1371_1_cp,244,bus_1254,132.0,-0.33867273538118425,1.04364950471473,2,64,bus_1371,132.0,-0.3355215844546573,1.0445307386160738,2,ac,176.0,673,-588,683,-534,"LINESTRING (673 -588, 683 -534)"
bus_5061-bus_5062-i_line_5061_to_5062_1_cp,1126,bus_5061,110.0,-0.1652110307372224,1.0617945991497972,15,66,bus_5062,110.0,-0.16645925580534726,1.0610931970107178,15,ac,118.0,1590,-5552,1689,-5561,"LINESTRING (1590 -5552, 1689 -5561)"
bus_3214-bus_3625-i_line_3214_to_3625_1_cp,1211,bus_3214,110.0,-0.007646122054452157,1.0288189856803815,11,73,bus_3625,110.0,0.007131211649583836,1.0398024887700263,11,ac,71.0,-1137,2866,-1315,2864,"LINESTRING (-1137 2866, -1315 2864)"
bus_3214-bus_3625-i_line_3214_to_3625_2_cp,1211,bus_3214,110.0,-0.007646122054452157,1.0288189856803815,11,73,bus_3625,110.0,0.007131211649583836,1.0398024887700263,11,ac,70.0,-1137,2866,-1315,2864,"LINESTRING (-1137 2866, -1315 2864)"
bus_3134-bus_3340-i_line_3134_to_3340_1_cp,1963,bus_3134,110.0,-0.3432878092165599,1.041722625923559,11,80,bus_3340,110.0,-0.35285150197389575,1.0345568331003645,11,ac,110.00000000000001,-1006,2471,-843,2502,"LINESTRING (-1006 2471, -843 2502)"
bus_1594-bus_1658-i_line_1594_to_1658_1_cp,116,bus_1594,66.0,-0.09199963418283934,1.0485810047246245,1,84,bus_1658,66.0,-0.09289011773667653,1.0480284494041512,1,ac,68.0,2721,2689,2806,2717,"LINESTRING (2721 2689, 2806 2717)"
bus_1594-bus_1658-i_line_1594_to_1658_2_cp,116,bus_1594,66.0,-0.09199963418283934,1.0485810047246245,1,84,bus_1658,66.0,-0.09289011773667653,1.0480284494041512,1,ac,85.0,2721,2689,2806,2717,"LINESTRING (2721 2689, 2806 2717)"
bus_1594-bus_1658-i_line_1594_to_1658_3_cp,116,bus_1594,66.0,-0.09199963418283934,1.0485810047246245,1,84,bus_1658,66.0,-0.09289011773667653,1.0480284494041512,1,ac,82.0,2721,2689,2806,2717,"LINESTRING (2721 2689, 2806 2717)"
bus_1601-bus_1658-i_line_1601_to_1658_1_cp,1645,bus_1601,66.0,-0.09468398758012145,1.0461370792571691,1,84,bus_1658,66.0,-0.09289011773667653,1.0480284494041512,1,ac,69.0,2833,2717,2806,2717,"LINESTRING (2833 2717, 2806 2717)"
bus_1519-bus_1521-i_line_1519_to_1521_2_cp,367,bus_1519,11.0,-0.23495426892187282,1.0864337179736328,2,91,bus_1521,11.0,-0.23497822669652804,1.0865732865055693,2,ac,18.0,-62,-589,-163,-667,"LINESTRING (-62 -589, -163 -667)"
bus_1190-bus_1264-i_line_1190_to_1264_1_cp,779,bus_1190,132.0,-0.33837999421331977,1.0585463079025563,2,92,bus_1264,132.0,-0.3485420531808296,1.0493159082182184,2,ac,191.0,529,439,470,465,"LINESTRING (529 439, 470 465)"
bus_5061-bus_5063-i_line_5061_to_5063_2_cp,1126,bus_5061,110.0,-0.1652110307372224,1.0617945991497972,15,97,bus_5063,110.0,-0.18038491410882457,1.0557240861971138,15,ac,117.0,1590,-5552,1434,-5510,"LINESTRING (1590 -5552, 1434 -5510)"
bus_5058-bus_5063-i_line_5058_to_5063_1_cp,1246,bus_5058,110.0,-0.17230313721033413,1.0597192312690347,15,97,bus_5063,110.0,-0.18038491410882457,1.0557240861971138,15,ac,113.99999999999999,1584,-5507,1434,-5510,"LINESTRING (1584 -5507, 1434 -5510)"
bus_5057-bus_5063-i_line_5057_to_5063_1_cp,1888,bus_5057,110.0,-0.18038672785091928,1.0557370836595463,15,97,bus_5063,110.0,-0.18038491410882457,1.0557240861971138,15,ac,206.99999999999997,1417,-5541,1434,-5510,"LINESTRING (1417 -5541, 1434 -5510)"
bus_3486-bus_3529-i_line_3486_to_3529_2_cp,209,bus_3486,132.0,-0.33413375600362155,1.028054984393151,8,99,bus_3529,132.0,-0.3230822971023446,1.06298,8,ac,268.0,-1211,6608,-1282,6854,"LINESTRING (-1211 6608, -1282 6854)"
bus_3486-bus_3529-i_line_3486_to_3529_1_cp,209,bus_3486,132.0,-0.33413375600362155,1.028054984393151,8,99,bus_3529,132.0,-0.3230822971023446,1.06298,8,ac,265.0,-1211,6608,-1282,6854,"LINESTRING (-1211 6608, -1282 6854)"
bus_3223-bus_3529-i_line_3223_to_3529_1_cp,342,bus_3223,132.0,-0.38418503630489215,1.0230088103256307,8,99,bus_3529,132.0,-0.3230822971023446,1.06298,8,ac,214.0,-1320,7005,-1282,6854,"LINESTRING (-1320 7005, -1282 6854)"
bus_3080-bus_3529-i_line_3080_to_3529_1_cp,722,bus_3080,132.0,-0.4481852909603554,1.0536492981037135,8,99,bus_3529,132.0,-0.3230822971023446,1.06298,8,ac,248.0,-1426,7042,-1282,6854,"LINESTRING (-1426 7042, -1282 6854)"
bus_3211-bus_3529-i_line_3211_to_3529_1_cp,1587,bus_3211,132.0,-0.2925364994832125,1.025755173126864,8,99,bus_3529,132.0,-0.3230822971023446,1.06298,8,ac,204.99999999999997,-1228,6939,-1282,6854,"LINESTRING (-1228 6939, -1282 6854)"
bus_4207-bus_4209-i_line_4208_to_4209_1_cp,621,bus_4207,132.0,0.8811440058161899,0.9933016359664677,13,101,bus_4209,132.0,0.8630645432238345,0.9837325071748986,13,ac,154.0,-1727,-1560,-1518,-1647,"LINESTRING (-1727 -1560, -1518 -1647)"
bus_5083-bus_5087-i_line_5085_to_5112_1_cp,157,bus_5083,110.0,-0.06152382044508938,1.0353519529132829,15,103,bus_5087,110.0,-0.09464118329114479,1.0289527047520208,15,ac,148.0,1281,-6304,1139,-6349,"LINESTRING (1281 -6304, 1139 -6349)"
bus_5083-bus_5087-i_line_5084_to_5112_2_cp,157,bus_5083,110.0,-0.06152382044508938,1.0353519529132829,15,103,bus_5087,110.0,-0.09464118329114479,1.0289527047520208,15,ac,141.0,1281,-6304,1139,-6349,"LINESTRING (1281 -6304, 1139 -6349)"
bus_5090-bus_5087-i_line_5090_to_5112_1_cp,1463,bus_5090,110.0,-0.10990753844575163,1.0312378460363154,15,103,bus_5087,110.0,-0.09464118329114479,1.0289527047520208,15,ac,121.0,898,-6262,1139,-6349,"LINESTRING (898 -6262, 1139 -6349)"
bus_5091-bus_5087-i_line_5091_to_5112_1_cp,1775,bus_5091,110.0,-0.1134886785104553,1.0302924839755965,15,103,bus_5087,110.0,-0.09464118329114479,1.0289527047520208,15,ac,124.0,995,-6295,1139,-6349,"LINESTRING (995 -6295, 1139 -6349)"
bus_4089-bus_4170-i_line_4163_to_4170_1_cp,384,bus_4089,132.0,1.0118191772435758,1.0220109380544784,12,105,bus_4170,132.0,0.9944450830509841,1.049199747093307,12,ac,118.0,-3041,-1585,-3108,-1515,"LINESTRING (-3041 -1585, -3108 -1515)"
bus_4167-bus_4170-i_line_4167_to_4170_1_cp,1633,bus_4167,132.0,0.9919542458196449,1.0526102065465093,12,105,bus_4170,132.0,0.9944450830509841,1.049199747093307,12,ac,120.0,-3222,-1469,-3108,-1515,"LINESTRING (-3222 -1469, -3108 -1515)"
bus_3545-bus_3572-i_line_3545_to_3572_3_cp,1327,bus_3545,275.0,-0.2546502267785985,1.0639368339734927,11,107,bus_3572,275.0,-0.25335743724379906,1.0624150637579919,11,ac,527.0,-600,3049,-602,2881,"LINESTRING (-600 3049, -602 2881)"
bus_1240-bus_1409-i_line_1240_to_1413_1_cp,733,bus_1240,132.0,-0.3243035127036369,1.039969627579308,2,109,bus_1409,132.0,-0.32023162747777956,1.036549858393296,2,ac,221.0,374,-435,-38,-133,"LINESTRING (374 -435, -38 -133)"
bus_1259-bus_1409-i_line_1259_to_1422_2_cp,1081,bus_1259,132.0,-0.32064964035036975,1.0362076293436453,2,109,bus_1409,132.0,-0.32023162747777956,1.036549858393296,2,ac,124.0,-164,-511,-38,-133,"LINESTRING (-164 -511, -38 -133)"
bus_1258-bus_1409-i_line_1258_to_1422_1_cp,1259,bus_1258,132.0,-0.3220037692799995,1.0373392214353248,2,109,bus_1409,132.0,-0.32023162747777956,1.036549858393296,2,ac,128.0,135,-454,-38,-133,"LINESTRING (135 -454, -38 -133)"
bus_1183-bus_1283-i_line_1183_to_1283_2_cp,169,bus_1183,132.0,-0.21727407253276435,1.070879306516803,1,111,bus_1283,132.0,-0.223820379514656,1.0681931088675378,1,ac,227.99999999999997,820,1294,872,1361,"LINESTRING (820 1294, 872 1361)"
bus_1183-bus_1283-i_line_1183_to_1283_1_cp,169,bus_1183,132.0,-0.21727407253276435,1.070879306516803,1,111,bus_1283,132.0,-0.223820379514656,1.0681931088675378,1,ac,238.0,820,1294,872,1361,"LINESTRING (820 1294, 872 1361)"
bus_1580-bus_1594-i_line_1580_to_1594_1_cp,1634,bus_1580,66.0,-0.09208944506685861,1.0487312761406185,1,116,bus_1594,66.0,-0.09199963418283934,1.0485810047246245,1,ac,52.0,2801,2749,2721,2689,"LINESTRING (2801 2749, 2721 2689)"
bus_3543-bus_3567-i_line_3543_to_3567_1_cp,139,bus_3543,275.0,-0.21755697394688514,1.063932517287146,11,125,bus_3567,275.0,-0.23927620371260575,1.0536492981037135,11,ac,493.0,-685,3675,-813,3546,"LINESTRING (-685 3675, -813 3546)"
bus_4226-bus_4326-i_Dec18_line_4226_to_4326_2_dec,270,bus_4226,66.0,1.0425130817173016,1.0121135255806009,14,127,bus_4326,66.0,1.04250725421976,1.0121578222105163,14,ac,132.0,-2009,-3012,-2067,-3191,"LINESTRING (-2009 -3012, -2067 -3191)"
bus_4262-bus_4326-i_line_4262_to_4326_2_cp,638,bus_4262,66.0,1.042507158541615,1.0121585924635226,14,127,bus_4326,66.0,1.04250725421976,1.0121578222105163,14,ac,137.0,-2125,-3304,-2067,-3191,"LINESTRING (-2125 -3304, -2067 -3191)"
bus_3310-bus_3642-i_line_3310_to_3642_1_cp,198,bus_3310,66.0,-0.3295406937229514,1.0524001419774087,8,131,bus_3642,66.0,-0.3545759045885246,1.0431167975025817,8,ac,70.0,-1011,7028,-990,6975,"LINESTRING (-1011 7028, -990 6975)"
bus_3376-bus_3642-i_line_3376_to_3642_1_cp,444,bus_3376,66.0,-0.35704877992592504,1.043815396334914,8,131,bus_3642,66.0,-0.3545759045885246,1.0431167975025817,8,ac,47.0,-964,7085,-990,6975,"LINESTRING (-964 7085, -990 6975)"
bus_3276-bus_3642-i_line_3276_to_3642_1_cp,868,bus_3276,66.0,-0.36104260917630776,1.0398328438481848,8,131,bus_3642,66.0,-0.3545759045885246,1.0431167975025817,8,ac,56.99999999999999,-942,6940,-990,6975,"LINESTRING (-942 6940, -990 6975)"
bus_3305-bus_3642-i_line_3305_to_3642_1_cp,1471,bus_3305,66.0,-0.3581538935130056,1.0395126275315743,8,131,bus_3642,66.0,-0.3545759045885246,1.0431167975025817,8,ac,68.0,-1008,7062,-990,6975,"LINESTRING (-1008 7062, -990 6975)"
bus_3401-bus_3642-i_line_3401_to_3642_1_cp,1811,bus_3401,66.0,-0.3609493506350176,1.0420128034583607,8,131,bus_3642,66.0,-0.3545759045885246,1.0431167975025817,8,ac,51.0,-896,6940,-990,6975,"LINESTRING (-896 6940, -990 6975)"
bus_5059-bus_5060-i_line_5059_to_5060_1_cp,432,bus_5059,110.0,-0.07137832225962654,1.0707207414411477,15,141,bus_5060,110.0,-0.10294791397658118,1.0634906592100215,15,ac,97.0,1761,-5608,1696,-5591,"LINESTRING (1761 -5608, 1696 -5591)"
bus_3034-bus_3187-i_line_3034_to_3187_2_cp,724,bus_3034,132.0,-0.19807504353895483,1.0592614395269242,9,142,bus_3187,132.0,-0.21029057992410385,1.060833198101229,9,ac,142.0,-1239,4414,-1347,4373,"LINESTRING (-1239 4414, -1347 4373)"
bus_3034-bus_3187-i_line_3034_to_3187_1_cp,724,bus_3034,132.0,-0.19807504353895483,1.0592614395269242,9,142,bus_3187,132.0,-0.21029057992410385,1.060833198101229,9,ac,144.0,-1239,4414,-1347,4373,"LINESTRING (-1239 4414, -1347 4373)"
bus_3131-bus_3519-i_line_3131_to_3519_1_cp,349,bus_3131,110.0,-0.2749659909214733,1.0581688520918842,11,143,bus_3519,110.0,-0.2799859192439419,1.0612453115322213,11,ac,130.0,-1005,3251,-885,3246,"LINESTRING (-1005 3251, -885 3246)"
