geometry,name,from_bus,to_bus,transformer
"LINESTRING (430 -4263, 411 -4354)",line_2210_to_2217_1_cp,bus_2210,bus_2211,false
"LINESTRING (2000 2110, 2167 2176)",line_1331_to_1385_1_cp,bus_1331,bus_1385,false
"LINESTRING (-725 6053, -759 5917)",line_3069_to_3201_2_cp,bus_3069,bus_3201,false
"LINESTRING (-1736 6747, -1873 6871)",line_3516_to_3629_2_cp,bus_3516,bus_3629,false
"LINESTRING (968 -1737, 989 -1806)",xf_1311_to_1056_1_2winding_transformer,bus_1311,bus_1056,true
"LINESTRING (-1884 -2362, -2074 -2338)",xf_4294_to_4380_2_2winding_transformer,bus_4296,bus_4380,true
"LINESTRING (-1313 4068, -1254 4050)",line_3009_to_3116_1_cp,bus_3009,bus_3116,false
"LINESTRING (703 45, 692 -193)",line_1093_to_1120_1_cp,bus_1093,bus_1120,false
"LINESTRING (-1314 5960, -1218 5893)",line_3023_to_3063_1_cp,bus_3023,bus_3002,false
"LINESTRING (-1843 -2005, -1481 -2118)",line_4131_to_4149_1_cp,bus_4131,bus_4149,false
"LINESTRING (-2706 -1816, -2774 -1830)",xf_4144_to_4384_1_2winding_transformer,bus_4144,bus_4384,true
"LINESTRING (924 -3962, 877 -4079)",line_2163_to_2167_1_cp,bus_2121,bus_2167,false
"LINESTRING (-1090 4415, -915 4345)",xf_3476_to_3549_1_2winding_transformer,bus_3476,bus_3549,true
"LINESTRING (-2980 -1919, -3061 -1963)",xf_4357_to_4015_4_2winding_transformer,bus_4357,bus_4015,true
"LINESTRING (-422 2700, -389 2652)",xf_3378_to_3380_1_2winding_transformer,bus_3378,bus_3380,true
"LINESTRING (528 664, 438 792)",line_1198_to_1455_2_cp,bus_1198,bus_1455,false
"LINESTRING (1823 2202, 1873 2274)",xf_1159_to_1527_1_2winding_transformer,bus_1159,bus_1527,true
"LINESTRING (-908 -3252, -929 -3281)",xf_4083_to_4102_6_2winding_transformer,bus_4083,bus_4096,true
"LINESTRING (1160 345, 966 371)",line_1404_to_1443_2_cp,bus_1404,bus_1184,false
"LINESTRING (658 -372, 467 -265)",line_1243_to_1340_1_cp,bus_1243,bus_1374,false
"LINESTRING (43 4965, 94 5061)",xf_3039_to_3043_1_2winding_transformer,bus_3039,bus_3043,true
"LINESTRING (1491 2184, 1363 1597)",line_1095_to_1145_2_cp,bus_1011,bus_1145,false
"LINESTRING (-1368 4590, -1446 4647)",xf_3263_to_3264_1_2winding_transformer,bus_3263,bus_3264,true
"LINESTRING (1335 1359, 1363 1597)",line_1126_to_1145_1_cp,bus_1126,bus_1145,false
"LINESTRING (-1373 6081, -1450 6140)",xf_3114_to_3115_1_2winding_transformer,bus_3114,bus_3115,true
"LINESTRING (368 -101, 141 -289)",xf_1155_to_1205_1_2winding_transformer,bus_1155,bus_1205,true
"LINESTRING (66 3102, -283 3067)",line_3374_to_3503_2_cp,bus_3302,bus_3344,false
"LINESTRING (758 -1418, 733 -1490)",xf_1324_to_1048_1_2winding_transformer,bus_1324,bus_1048,true
"LINESTRING (-2644 -2675, -2569 -2611)",xf_4237_to_4419_2_2winding_transformer,bus_4038,bus_4419,true
"LINESTRING (522 -5879, 443 -5908)",xf_5052_to_5181_4_2winding_transformer,bus_5052,bus_5181,true
"LINESTRING (-3059 -1328, -2988 -1353)",xf_4024_to_4369_7_2winding_transformer,bus_4024,bus_4369,true
"LINESTRING (-544 2719, -479 2780)",line_3163_to_3504_1_cp,bus_3163,bus_3504,false
"LINESTRING (-2185 -816, -2151 -876)",xf_4186_4230_4494_1_3winding_transformer_br3,bus_4494,starbus_xf_4186_4230_4494_1,true
"LINESTRING (-3288 -1647, -3501 -1584)",line_4165_to_4222_1_cp,bus_4165,bus_4157,false
"LINESTRING (-898 -2745, -898 -2745)",xf_4220_4074_4499_5_3winding_transformer_br1,bus_4220,starbus_xf_4220_4074_4499_5,true
"LINESTRING (228 2866, 422 2892)",line_3652_to_3654_2_cp_merged_with_xf_3654_to_3656_2_2winding_transformer,bus_3652,bus_3656,true
"LINESTRING (1051 -5654, 1031 -5503)",line_5169_to_5170_2_cp,bus_5169,bus_5170,false
"LINESTRING (-1084 6940, -990 6975)",xf_3078_to_3642_2_2winding_transformer,bus_3078,bus_3642,true
"LINESTRING (703 257, 703 257)",xf_1092_1093_1526_2_3winding_transformer_br1,bus_1092,starbus_xf_1092_1093_1526_2,true
"LINESTRING (-1715 -2814, -1738 -2895)",xf_4318_to_4475_2_2winding_transformer,bus_4318,bus_4475,true
"LINESTRING (960 -3638, 984 -3929)",xf_2198_to_2118_4_2winding_transformer,bus_2198,bus_2118,true
"LINESTRING (764 27, 875 144)",xf_1117_to_1175_2_2winding_transformer,bus_1117,bus_1252,true
"LINESTRING (1958 2291, 1948 2390)",line_1164_to_1637_1_cp,bus_1164,bus_1026,false
"LINESTRING (-2182 -3328, -2318 -3521)",line_4267_to_4269_1_cp_merged_with_xf_4269_to_4443_1_2winding_transformer,bus_4267,bus_4443,true
"LINESTRING (-852 4136, -890 4237)",line_3314_to_3315_2_cp,bus_3314,bus_3315,false
"LINESTRING (-1550 -3113, -1565 -3205)",xf_4313_to_4471_1_2winding_transformer,bus_4313,bus_4471,true
"LINESTRING (529 439, 545 492)",line_1190_to_1451_1_cp,bus_1190,bus_1451,false
"LINESTRING (1696 -5591, 1590 -5552)",line_5060_to_5061_1_cp,bus_5060,bus_5061,false
"LINESTRING (1861 -1281, 1955 -1261)",xf_1449_to_1633_1_2winding_transformer,bus_1449,bus_1633,true
"LINESTRING (224 -3741, 198 -3943)",xf_2109_to_2099_2_2winding_transformer,bus_2109,bus_2099,true
"LINESTRING (227 -3247, 216 -3308)",xf_2315_to_2350_6_2winding_transformer,bus_2315,bus_2350,true
"LINESTRING (-334 403, -422 428)",xf_1627_to_1574_3_2winding_transformer,bus_1627,bus_1574,true
"LINESTRING (784 -1957, 740 -1889)",xf_2191_2023_2024_1_3winding_transformer_br2,bus_2023,starbus_xf_2191_2023_2024_1,true
"LINESTRING (1237 -445, 1380 -431)",line_1221_to_1373_2_cp,bus_1221,bus_1373,false
"LINESTRING (-419 5506, -398 5494)",xf_3492_to_3493_3_2winding_transformer,bus_3149,bus_3493,true
"LINESTRING (830 -5662, 1073 -5646)",line_5113_to_5119_1_cp,bus_5113,bus_5119,false
"LINESTRING (765 -5745, 811 -5700)",line_5051_to_5053_1_cp,bus_5050,bus_5053,false
"LINESTRING (-1250 6362, -1070 5934)",line_3561_to_3591_3_cp,bus_3561,bus_3591,false
"LINESTRING (383 -5832, 301 -5861)",xf_5068_to_5173_1_2winding_transformer,bus_5068,bus_5173,true
"LINESTRING (-457 -3444, -476 -3517)",xf_2270_to_2080_3_2winding_transformer,bus_2270,bus_2080,true
"LINESTRING (-2313 -2476, -2385 -2413)",line_4241_to_4248_1_cp,bus_4241,bus_4248,false
"LINESTRING (-3742 -1731, -3689 -1737)",xf_4160_4097_4401_1_3winding_transformer_br2,bus_4097,starbus_xf_4160_4097_4401_1,true
"LINESTRING (-725 6053, -696 6159)",xf_3069_to_3070_3_2winding_transformer,bus_3069,bus_3070,true
"LINESTRING (-281 -3625, -309 -3712)",xf_2342_to_2054_1_2winding_transformer,bus_2342,bus_2054,true
"LINESTRING (-1506 -1837, -1560 -1923)",line_4211_to_4212_1_cp,bus_4211,bus_4212,false
"LINESTRING (-1716 4891, -1791 4951)",xf_3037_to_3038_2_2winding_transformer,bus_3038,bus_3220,true
"LINESTRING (1161 1128, 1244 1161)",xf_1115_to_1034_1_2winding_transformer,bus_1115,bus_1034,true
"LINESTRING (904 -5344, 853 -5363)",xf_5150_to_5017_2_2winding_transformer,bus_5150,bus_5017,true
"LINESTRING (11 5168, -54 5307)",line_3060_to_3151_1_cp,bus_3060,bus_3151,false
"LINESTRING (-2135 -1327, -2137 -1434)",line_4177_to_4184_1_cp,bus_4177,bus_4184,false
"LINESTRING (-921 -2853, -898 -2745)",xf_4220_4074_4498_3_3winding_transformer_br2,bus_4074,starbus_xf_4220_4074_4498_3,true
"LINESTRING (449 -4098, 540 -4107)",line_2111_to_2112_1_pi,bus_2104,bus_2111,false
"LINESTRING (-404 -2893, -388 -2854)",line_2303_to_2304_2_pi,bus_2303,bus_2304,false
"LINESTRING (-1207 3092, -1130 3182)",line_3129_to_3467_1_cp,bus_3129,bus_3467,false
"LINESTRING (-1996 -3550, -2020 -3653)",xf_4246_to_4426_2_2winding_transformer,bus_4246,bus_4426,true
"LINESTRING (-921 -2853, -898 -2745)",xf_4220_4074_4499_5_3winding_transformer_br2,bus_4074,starbus_xf_4220_4074_4499_5,true
"LINESTRING (1263 -2064, 1130 -1867)",line_1113_to_1151_1_cp,bus_1113,bus_1151,false
"LINESTRING (1237 -445, 1359 -538)",line_1221_to_1316_1_cp,bus_1221,bus_1163,false
"LINESTRING (-1296 4156, -1177 4045)",line_3021_to_3475_2_cp,bus_3021,bus_3475,false
"LINESTRING (-1313 4068, -1396 4072)",xf_3009_to_3011_2_2winding_transformer,bus_3009,bus_3011,true
"LINESTRING (854 -3647, 860 -3741)",xf_2168_to_2274_2_2winding_transformer,bus_2168,bus_2274,true
"LINESTRING (-512 4317, -508 4387)",xf_3369_to_3370_1_2winding_transformer,bus_3369,bus_3370,true
"LINESTRING (264 -3628, 504 -3172)",connection V6,bus_2105,bus_2125,false
"LINESTRING (313 384, 3 451)",xf_1495_to_1653_3_2winding_transformer,bus_1191,bus_1653,true
"LINESTRING (-943 2658, -1147 2506)",xf_3583_to_3633_2_2winding_transformer,bus_3583,bus_3633,true
"LINESTRING (796 -6353, 745 -6429)",line_5103_to_5104_1_cp,bus_5103,bus_5104,false
"LINESTRING (464 -3836, 472 -3932)",xf_2146_to_2249_7_2winding_transformer,bus_2146,bus_2249,true
"LINESTRING (-2134 -3081, -2191 -3149)",xf_4292_to_4438_6_2winding_transformer,bus_4292,bus_4438,true
"LINESTRING (629 -2952, 637 -3026)",xf_2169_to_2275_3_2winding_transformer,bus_2169,bus_2275,true
"LINESTRING (2721 2689, 2865 2748)",line_1594_to_1595_1_cp,bus_1594,bus_1595,false
"LINESTRING (-2594 -940, -2654 -894)",xf_4126_to_4127_1_2winding_transformer,bus_4126,bus_4127,true
"LINESTRING (-3041 -1585, -2794 -1647)",xf_4163_to_4107_1_2winding_transformer,bus_4089,bus_4107,true
"LINESTRING (1320 -4352, 1368 -4310)",line_2255_to_2261_4_cp,bus_2255,bus_2260,false
"LINESTRING (955 -3011, 922 -3110)",line_2119_to_2148_1_cp_merged_with_xf_2119_to_2014_1_2winding_transformer,bus_2107,bus_2014,true
"LINESTRING (-409 -3284, -437 -3349)",xf_2077_to_2348_4_2winding_transformer,bus_2077,bus_2348,true
"LINESTRING (-2369 -1377, -2321 -1420)",line_4032_to_4371_1_cp,bus_4032,bus_4371,false
"LINESTRING (-3041 -1585, -3038 -1544)",xf_4163_to_4349_3_2winding_transformer,bus_4089,bus_4349,true
"LINESTRING (-2132 -986, -2143 -896)",xf_4185_to_4229_1_2winding_transformer,bus_4185,bus_4229,true
"LINESTRING (820 1294, 731 1347)",line_1183_to_1424_1_cp,bus_1183,bus_1257,false
"LINESTRING (915 -2259, 963 -2129)",xf_1106_1167_1537_4_3winding_transformer_br3,bus_1537,starbus_xf_1106_1167_1537_4,true
"LINESTRING (48 0, 228 214)",line_1107_to_1111_1_cp,bus_1107,bus_1111,false
"LINESTRING (-744 2835, -747 2974)",line_3589_to_3601_1_cp,bus_3589,bus_3601,false
"LINESTRING (307 3563, 419 3556)",line_3158_to_3613_2_cp,bus_3158,bus_3613,false
"LINESTRING (-386 2501, -496 2609)",xf_3352_to_3353_1_2winding_transformer_merged_with_line_3352_to_3385_1_cp,bus_3353,bus_3385,true
"LINESTRING (433 -2941, 260 -3033)",xf_1217_to_1606_2_2winding_transformer,bus_1217,bus_1007,true
"LINESTRING (863 -2165, 837 -2208)",line_1292_to_1297_1_cp,bus_1292,bus_1297,false
"LINESTRING (1342 4456, 1258 4394)",line_3300_to_3618_1_cp,bus_3300,bus_3618,false
"LINESTRING (-1644 -2907, -1654 -2994)",xf_4317_to_4474_1_2winding_transformer,bus_4317,bus_4474,true
"LINESTRING (-1757 -2733, -1784 -2804)",xf_4339_to_4486_2_2winding_transformer,bus_4339,bus_4486,true
"LINESTRING (-314 4388, -714 4483)",line_3573_to_3598_1_cp,bus_3573,bus_3598,false
"LINESTRING (-1913 -3805, -1919 -3912)",xf_4245_to_4425_2_2winding_transformer,bus_4245,bus_4425,true
"LINESTRING (1060 -5659, 1008 -5612)",line_5141_to_5143_1_cp,bus_5141,bus_5143,false
"LINESTRING (-1072 6873, -1011 7028)",line_3142_to_3310_1_cp,bus_3142,bus_3310,false
"LINESTRING (937 -3740, 1051 -3940)",xf_2172_to_2278_4_2winding_transformer,bus_2164,bus_2278,true
"LINESTRING (453 -3333, -277 -2958)",connection V4,bus_2208,bus_2200,false
"LINESTRING (1073 -728, 1145 -823)",line_1166_to_1472_1_cp,bus_1166,bus_1472,false
"LINESTRING (-2083 -2441, -1884 -2362)",line_4279_to_4294_1_cp,bus_4279,bus_4296,false
"LINESTRING (-3032 -1224, -2963 -1268)",xf_4022_to_4367_6_2winding_transformer,bus_4022,bus_4367,true
"LINESTRING (307 3563, 338 3632)",xf_3158_to_3440_3_2winding_transformer,bus_3158,bus_3440,true
"LINESTRING (-3501 -1584, -3482 -1608)",xf_4222_to_4398_2_2winding_transformer,bus_4157,bus_4398,true
"LINESTRING (-833 5026, -570 4803)",line_3557_to_3640_3_cp,bus_3557,bus_3640,false
"LINESTRING (597 315, 679 322)",line_1138_to_1144_1_cp,bus_1138,bus_1066,false
"LINESTRING (1031 -5503, 1073 -5646)",xf_5170_to_5119_1_2winding_transformer,bus_5170,bus_5119,true
"LINESTRING (816 -2090, 671 -2297)",xf_1317_to_1586_1_2winding_transformer,bus_1317,bus_1318,true
"LINESTRING (147 3136, 66 3102)",xf_3302_3304_3303_1_3winding_transformer_br3,bus_3303,starbus_xf_3302_3304_3303_1,true
"LINESTRING (349 757, 243 911)",line_1195_to_1430_1_cp,bus_1195,bus_1430,false
"LINESTRING (-277 -2958, -277 -2958)",xf_2200_2196_2305_2_3winding_transformer_br1,bus_2200,starbus_xf_2200_2196_2305_2,true
"LINESTRING (138 3156, 66 3102)",xf_3302_3304_3303_1_3winding_transformer_br2,bus_3304,starbus_xf_3302_3304_3303_1,true
"LINESTRING (-473 449, -601 473)",line_1369_to_1655_1_cp,bus_1369,bus_1655,false
"LINESTRING (1958 2291, 2034 2210)",line_1164_to_1447_1_cp,bus_1164,bus_1447,false
"LINESTRING (380 -3402, 380 -3478)",xf_2108_to_2298_4_2winding_transformer,bus_2108,bus_2298,true
"LINESTRING (2 -3847, -25 -3913)",xf_2227_to_2010_1_2winding_transformer,bus_2227,bus_2010,true
"LINESTRING (985 1738, 927 1615)",line_1364_to_1397_1_cp,bus_1364,bus_1397,false
"LINESTRING (-3496 -1689, -3660 -1696)",xf_4159_to_4346_1_2winding_transformer,bus_4158,bus_4346,true
"LINESTRING (818 -295, 978 -738)",line_1098_to_1125_1_cp,bus_1098,bus_1125,false
"LINESTRING (-1228 6939, -1282 6854)",line_3211_to_3529_1_cp,bus_3211,bus_3529,false
"LINESTRING (2279 1953, 2380 1969)",xf_1554_to_1582_1_2winding_transformer,bus_1554,bus_1582,true
"LINESTRING (-379 380, -334 403)",line_1354_to_1627_1_cp,bus_1354,bus_1627,false
"LINESTRING (504 -3172, 513 -3245)",xf_2125_to_2337_1_2winding_transformer,bus_2125,bus_2337,true
"LINESTRING (-833 5026, -954 4846)",line_3557_to_3611_1_cp,bus_3557,bus_3611,false
"LINESTRING (829 -3277, 857 -3331)",xf_2122_to_2015_1_2winding_transformer,bus_2122,bus_2015,true
"LINESTRING (-3913 -1767, -3848 -1764)",xf_4166_4356_4491_3_3winding_transformer_br3,bus_4491,starbus_xf_4166_4356_4491_3,true
"LINESTRING (889 -1977, 911 -2041)",xf_1497_to_1650_2_2winding_transformer,bus_1497,bus_1650,true
"LINESTRING (1354 -1585, 1300 -1557)",xf_1118_1040_1041_2_3winding_transformer_br3,bus_1041,starbus_xf_1118_1040_1041_2,true
"LINESTRING (-938 5832, -1067 5850)",line_3111_to_3196_1_cp,bus_3111,bus_3196,false
"LINESTRING (-2074 -2389, -2202 -2504)",xf_4125_to_4238_1_2winding_transformer,bus_4125,bus_4238,true
"LINESTRING (-210 -3519, -166 -3350)",line_2151_to_2175_2_cp,bus_2151,bus_2175,false
"LINESTRING (79 -4685, 66 -4685)",xf_2076_to_2345_2_2winding_transformer,bus_2076,bus_2000,true
"LINESTRING (-1637 -3056, -1640 -2952)",line_4302_to_4342_1_cp,bus_4302,bus_4342,false
"LINESTRING (-611 4070, -614 4125)",line_3318_to_3636_2_pi_merged_with_xf_3318_to_3320_3_2winding_transformer,bus_3319,bus_3320,true
"LINESTRING (-335 3514, -613 3347)",line_3568_to_3593_2_cp,bus_3568,bus_3593,false
"LINESTRING (-422 3036, -92 2939)",xf_3490_to_3563_2_2winding_transformer,bus_3490,bus_3563,true
"LINESTRING (715 112, 715 112)",xf_1121_1123_1634_6_3winding_transformer_br1,bus_1121,starbus_xf_1121_1123_1634_6,true
"LINESTRING (-327 2944, -187 2958)",line_3411_to_3413_1_cp,bus_3411,bus_3413,false
"LINESTRING (-3689 -1737, -3689 -1737)",xf_4160_4097_4401_1_3winding_transformer_br1,bus_4160,starbus_xf_4160_4097_4401_1,true
"LINESTRING (963 -2129, 963 -2129)",xf_1106_1167_1537_4_3winding_transformer_br1,bus_1106,starbus_xf_1106_1167_1537_4,true
"LINESTRING (985 -570, 1073 -728)",xf_1105_to_1166_4_2winding_transformer,bus_1105,bus_1166,true
"LINESTRING (-1347 2481, -1451 2507)",xf_3386_to_3388_1_2winding_transformer,bus_3386,bus_3388,true
"LINESTRING (-2127 -4027, -2164 -4133)",xf_4260_to_4437_2_2winding_transformer,bus_4260,bus_4437,true
"LINESTRING (1179 1409, 1318 1531)",line_1193_to_1464_1_cp,bus_1193,bus_1464,false
"LINESTRING (-1467 7293, -1460 7399)",xf_3083_to_3085_2_2winding_transformer,bus_3083,bus_3085,true
"LINESTRING (-1067 5850, -1105 5940)",xf_3196_to_3197_1_2winding_transformer,bus_3196,bus_3197,true
"LINESTRING (597 315, 567 -53)",xf_1138_to_1186_3_2winding_transformer,bus_1138,bus_1186,true
"LINESTRING (863 -2112, 822 -2180)",xf_1308_to_1583_1_2winding_transformer,bus_1308,bus_1583,true
"LINESTRING (697 535, 679 322)",line_1124_to_1144_1_cp,bus_1124,bus_1066,false
"LINESTRING (814 -6003, 971 -5848)",line_5155_to_5168_1_cp,bus_5155,bus_5168,false
"LINESTRING (765 -5745, 762 -5772)",xf_5050_to_5179_1_2winding_transformer,bus_5050,bus_5179,true
"LINESTRING (-2132 -986, -2161 -871)",line_4185_to_4187_2_cp_merged_with_xf_4187_4230_4495_2_3winding_transformer_br1,bus_4185,starbus_xf_4187_4230_4495_2,true
"LINESTRING (-2260 -2230, -2396 -2385)",Dec21_line_4233_to_4236_1_dec,bus_4233,bus_4236,false
"LINESTRING (-249 -3683, -275 -3768)",xf_2343_to_2059_8_2winding_transformer,bus_2343,bus_2059,true
"LINESTRING (-1720 -2576, -1657 -2805)",line_4300_to_4311_2_cp,bus_4300,bus_4311,false
"LINESTRING (821 -2923, 869 -2937)",line_2235_to_2257_1_cp,bus_2235,bus_2257,false
"LINESTRING (714 507, 703 257)",line_1090_to_1092_1_cp,bus_1090,bus_1092,false
"LINESTRING (776 -1869, 740 -1889)",xf_2191_2018_2019_6_3winding_transformer_br3,bus_2019,starbus_xf_2191_2018_2019_6,true
"LINESTRING (-685 3675, -813 3546)",line_3543_to_3567_1_cp,bus_3543,bus_3567,false
"LINESTRING (-2143 -896, -2163 -830)",line_4229_to_4230_3_cp,bus_4229,bus_4230,false
"LINESTRING (-68 -3103, -101 -3147)",xf_2204_to_2063_1_2winding_transformer,bus_2204,bus_2063,true
"LINESTRING (-1876 -2795, -1901 -3129)",xf_4148_to_4335_1_2winding_transformer,bus_4148,bus_4335,true
"LINESTRING (1459 1657, 1516 1724)",xf_1473_to_1639_1_2winding_transformer,bus_1473,bus_1639,true
"LINESTRING (-2004 -2596, -1815 -2614)",xf_4129_to_4062_1_2winding_transformer,bus_4112,bus_4062,true
"LINESTRING (449 -4098, 460 -4211)",xf_2104_to_2041_2_2winding_transformer,bus_2104,bus_2041,true
"LINESTRING (-1345 4055, -1453 4074)",xf_3010_to_3012_3_2winding_transformer,bus_3010,bus_3012,true
"LINESTRING (853 -451, 787 -513)",line_1305_to_1338_1_cp,bus_1305,bus_1338,false
"LINESTRING (147 3136, 66 3102)",xf_3302_3304_3303_2_3winding_transformer_br3,bus_3303,starbus_xf_3302_3304_3303_2,true
"LINESTRING (-1556 7407, -1551 7483)",xf_3181_to_3183_2_2winding_transformer_merged_with_line_3181_to_3182_2_pi,bus_3180,bus_3183,true
"LINESTRING (-1233 4114, -1254 4050)",line_3073_to_3116_2_cp,bus_3028,bus_3116,false
"LINESTRING (1536 1414, 1663 1434)",line_1182_to_1456_1_cp,bus_1182,bus_1456,false
"LINESTRING (-2167 -3336, -2221 -3419)",xf_4255_to_4433_2_2winding_transformer,bus_4255,bus_4433,true
"LINESTRING (1136 -1159, 867 -1329)",xf_1158_to_1206_1_2winding_transformer,bus_1158,bus_1206,true
"LINESTRING (1349 2391, 1409 2464)",xf_1142_to_1642_2_2winding_transformer,bus_1142,bus_1642,true
"LINESTRING (173 819, 107 881)",xf_1313_to_1585_1_2winding_transformer,bus_1313,bus_1585,true
"LINESTRING (-1275 6726, -1211 6608)",line_3128_to_3486_1_cp,bus_3128,bus_3486,false
"LINESTRING (-973 5330, -982 5236)",line_3044_to_3482_2_cp,bus_3044,bus_3482,false
"LINESTRING (805 -6131, 898 -6262)",xf_5162_to_5090_3_2winding_transformer,bus_5162,bus_5090,true
"LINESTRING (519 545, 349 757)",xf_1147_to_1195_1_2winding_transformer,bus_1147,bus_1195,true
"LINESTRING (-2402 -1656, -2402 -1656)",xf_4104_4039_4040_1_3winding_transformer_br1,bus_4104,starbus_xf_4104_4039_4040_1,true
"LINESTRING (-1094 -2136, -1119 -2113)",xf_4217_to_4391_2_2winding_transformer,bus_4217,bus_4391,true
"LINESTRING (44 3051, -26 3018)",xf_3333_3336_3335_3_3winding_transformer_br2,bus_3336,starbus_xf_3333_3336_3335_3,true
"LINESTRING (997 -6215, 1111 -6098)",line_5092_to_5095_2_cp,bus_5092,bus_5095,false
"LINESTRING (-335 3514, -271 3717)",line_3568_to_3574_5_cp_merged_with_xf_3574_to_3425_3_2winding_transformer,bus_3568,bus_3425,true
"LINESTRING (-2249 -3731, -2292 -3831)",xf_4254_to_4378_2_2winding_transformer,bus_4254,bus_4378,true
"LINESTRING (120 3768, -96 3624)",line_3024_to_3498_2_cp,bus_3024,bus_3498,false
"LINESTRING (814 -6003, 971 -5848)",line_5155_to_5168_2_cp,bus_5155,bus_5168,false
"LINESTRING (907 -2953, 869 -2937)",line_2256_to_2257_1_cp,bus_2256,bus_2257,false
"LINESTRING (1446 -1310, 1136 -1159)",line_1103_to_1158_1_cp,bus_1103,bus_1158,false
"LINESTRING (52 3029, -26 3018)",xf_3333_3335_3336_2_3winding_transformer_br2,bus_3335,starbus_xf_3333_3335_3336_2,true
"LINESTRING (1770 1218, 1860 1245)",xf_1602_to_1089_2_2winding_transformer,bus_1602,bus_1089,true
"LINESTRING (960 -3638, 880 -3494)",line_2198_to_2206_1_cp,bus_2198,bus_2206,false
"LINESTRING (960 -6395, 973 -6363)",xf_5094_5202_5203_2_3winding_transformer_br3,bus_5203,starbus_xf_5094_5202_5203_2,true
"LINESTRING (-2996 -1862, -3078 -1895)",xf_4358_to_4013_8_2winding_transformer,bus_4358,bus_4013,true
"LINESTRING (-1250 6362, -1503 6658)",line_3561_to_3584_1_cp,bus_3561,bus_3584,false
"LINESTRING (714 507, 703 257)",line_1090_to_1092_2_cp,bus_1090,bus_1092,false
"LINESTRING (-2009 -3012, -1970 -3309)",Dec15_line_4226_to_4243_1_dec,bus_4226,bus_4243,false
