bus_names,x,y
starbus_xf_3486_3561_3487_1,-1211,6608
bus_1526,695,159
bus_2067,1245,-3952
bus_1507,814,-2288
bus_1515,582,-50
bus_5210,712,-6485
bus_4112,-2004,-2596
bus_3204,-989,3482
bus_4137,-1782,-2384
bus_2279,1031,-4245
starbus_xf_1428_1501_1539_1,156,-160
bus_4193,-2249,-1373
starbus_xf_1099_1100_1533_9,825,368
starbus_xf_1616_1027_1618_1,2815,2889
starbus_xf_3371_3372_3373_2,-1496,3449
bus_1627,-334,403
bus_4347,-3833,-1851
bus_5199,1131,-6078
bus_3390,-1030,3163
bus_5096,656,-6456
bus_3604,-1080,4673
bus_1382,1304,-378
bus_5072,819,-5329
bus_3144,-1603,7237
bus_4488,-1636,-3032
starbus_xf_4104_4039_4040_1,-2402,-1656
bus_2251,923,-2947
bus_1372,1378,-394
bus_2167,877,-4079
bus_3275,-1166,5437
bus_3383,-545,4293
bus_3470,-891,3562
bus_1582,2380,1969
bus_5032,600,-6227
bus_5237,963,-6343
bus_1045,505,30
bus_5059,1761,-5608
bus_1196,582,839
bus_1437,-579,-293
bus_5178,1068,-6138
bus_1099,825,368
bus_4178,-2148,-1243
bus_4459,-1894,-2326
bus_3527,390,3598
starbus_xf_2195_2293_2332_1,713,-2244
bus_4030,-2224,-2738
bus_1078,1459,-1470
bus_1087,-707,529
bus_3376,-964,7085
bus_2267,-2,-3673
bus_1084,-696,490
bus_2343,-249,-3683
bus_3343,-1230,3017
starbus_xf_3333_3335_3336_2,-26,3018
bus_3110,-686,6022
bus_3083,-1467,7293
bus_5136,651,-6556
bus_5196,1288,-6358
bus_1518,400,-304
bus_1435,-444,-283
bus_3412,-328,2956
bus_4145,-1727,-2102
bus_4406,-3384,-1875
bus_4336,-1859,-1516
bus_3201,-759,5917
bus_1584,2131,2306
bus_1007,260,-3033
bus_1069,794,-2014
bus_4022,-3032,-1224
bus_1096,832,-468
bus_2287,927,-3297
bus_3138,528,4209
bus_5022,1299,-6237
bus_4075,-932,-2764
bus_4303,-1601,-3239
bus_5238,915,-6284
bus_1163,1359,-538
bus_1508,373,-902
bus_2088,1180,-1793
bus_4054,-1964,-2673
bus_5053,811,-5700
bus_5217,413,-5730
bus_5015,565,-5371
bus_1021,2749,-1684
bus_4128,-1960,-2598
bus_2243,333,-3526
bus_3440,338,3632
bus_5066,1486,-5546
bus_1331,2000,2110
bus_2226,279,-4035
bus_2061,1082,-3101
bus_1499,664,-701
bus_4447,-2408,-3221
bus_4356,-3940,-1763
bus_1517,894,-1382
bus_2240,94,-3685
bus_1077,1438,-1461
bus_2225,341,-4144
bus_5231,748,-6038
bus_3106,-1021,5352
bus_2023,784,-1957
bus_1481,894,-1579
bus_1535,2018,2379
bus_3051,159,5054
bus_1152,679,-116
bus_1037,1227,1192
bus_3570,-465,3045
bus_1361,2186,-1475
bus_3347,-249,3097
bus_3536,1025,4232
bus_1239,380,1278
bus_4015,-3061,-1963
bus_1056,989,-1806
bus_2085,1029,-3844
bus_1106,963,-2129
bus_4319,-1827,-2251
starbus_xf_3629_3454_3456_2,-1873,6871
bus_2076,79,-4685
bus_2311,1421,-4724
bus_3068,-1018,6497
bus_3133,-1085,3311
starbus_xf_4166_4356_4492_4,-3848,-1764
bus_4040,-2466,-1680
bus_1645,861,-1721
bus_5219,1965,-5720
bus_3428,-612,3661
bus_5215,711,-5677
bus_3549,-915,4345
bus_3026,180,3842
bus_5095,1111,-6098
bus_3040,62,5064
bus_3457,-2042,7026
bus_3460,-1010,6813
bus_2323,954,-3371
bus_4200,-2525,-1301
bus_2248,482,-3920
bus_1093,703,45
bus_4176,-2223,-1226
bus_5128,1903,-5666
bus_2105,264,-3628
bus_3294,-1125,6585
bus_1082,809,725
bus_2341,343,-3661
bus_4392,-926,-2601
bus_1458,82,758
starbus_xf_2191_2029_2030_4,740,-1889
bus_3100,-1000,2976
bus_1395,951,-2174
bus_1632,2114,2269
bus_5211,662,-6530
bus_1459,1135,-792
starbus_xf_1296_1504_1506_1,629,-1107
bus_3344,-283,3067
starbus_xf_3483_3558_3485_2,-822,5732
bus_5205,1049,-6287
bus_2271,238,-3228
bus_1598,2909,2742
bus_2340,356,-3649
bus_1650,911,-2041
bus_1044,551,47
bus_3111,-938,5832
bus_3226,-1030,3422
bus_3471,-478,2930
bus_5229,1118,-5569
bus_4096,-929,-3281
bus_3017,-742,4092
bus_3299,-1209,2547
bus_3558,-869,5466
starbus_xf_2145_2243_2306_2,326,-3443
bus_1614,2581,-1815
bus_5005,957,-5707
starbus_xf_3516_3584_3517_1,-1736,6747
bus_3366,-1382,2533
bus_2064,-91,-3176
bus_5230,1015,-5530
bus_2007,169,-4378
bus_3273,-22,5394
bus_3060,11,5168
bus_4365,-2798,-1260
bus_2297,59,-4071
bus_1533,885,495
bus_4223,-3363,-1658
bus_3135,-1059,2437
bus_3405,-1302,2259
bus_5118,1112,-5788
bus_1011,1491,2184
bus_1199,944,-1807
bus_1563,1432,1715
bus_1365,816,-1464
bus_3364,54,3191
bus_4270,-2297,-3132
bus_4073,-1003,-2330
bus_3635,-687,2591
bus_2055,-314,-3692
bus_4445,-2376,-3188
bus_3280,631,4333
bus_1434,468,-410
bus_1550,322,-48
bus_3004,-1417,6783
bus_4423,-2868,-465
bus_3323,-357,2729
bus_4427,-1900,-3493
starbus_xf_3134_3135_3136_2,-1006,2471
starbus_xf_2191_2020_2021_7,740,-1889
bus_2125,504,-3172
bus_1622,2287,2279
bus_2101,40,-3765
bus_4028,-2241,-2722
bus_4448,-2503,-3300
bus_3279,569,4242
bus_3339,-390,2893
bus_4188,-2750,-1191
bus_3421,-1050,4874
bus_1186,567,-53
bus_3006,-1458,6865
bus_2270,-457,-3444
bus_5109,621,-6620
bus_3429,-559,3661
bus_2146,464,-3836
bus_3342,-1138,3004
bus_5163,1046,-5970
bus_1246,459,-475
bus_2276,853,-3239
bus_3218,125,5009
bus_2099,198,-3943
bus_4207,-1727,-1560
bus_2254,1442,-4399
bus_4202,-1611,-2026
bus_4463,-1720,-2989
bus_4479,-1940,-1963
bus_1497,889,-1977
bus_1536,902,-2246
bus_3426,-344,3718
bus_4428,-2072,-3582
bus_4496,-929,-2573
bus_4498,-914,-2821
bus_1467,430,146
bus_2057,-256,-3780
bus_2107,955,-3011
bus_3476,-1090,4415
bus_3568,-335,3514
bus_2024,779,-1936
bus_4262,-2125,-3304
bus_1047,792,555
bus_4298,-1489,-3282
bus_4480,-1918,-1872
bus_4031,-2169,-2688
bus_1444,1814,1949
bus_1538,880,-123
bus_2237,336,-3883
bus_5050,765,-5745
bus_1449,1861,-1281
bus_1110,1136,-413
bus_4257,-2063,-3911
bus_1558,76,981
bus_2056,-297,-3716
bus_2090,154,-3805
bus_3232,-117,5514
bus_2106,146,-3531
bus_1400,194,-324
bus_4047,-2544,-1578
bus_2139,1136,-1803
bus_3053,233,5132
bus_3121,-514,5595
bus_1636,1,805
starbus_xf_1090_1091_1523_9,714,507
bus_1052,771,602
bus_4042,-2470,-1647
bus_1537,915,-2259
bus_1169,1269,-521
bus_4006,-4015,-1769
bus_1068,1188,-2387
bus_1097,789,-107
bus_5142,1013,-5622
bus_4160,-3689,-1737
starbus_xf_1118_1038_1039_1,1300,-1557
bus_1221,1237,-445
bus_4305,-1601,-3380
bus_1585,107,881
bus_2315,227,-3247
bus_3410,-1267,3530
bus_3087,-1726,7292
bus_3012,-1453,4074
bus_2027,743,-1962
bus_2176,204,-3789
bus_5123,1287,-5684
bus_4418,-2466,-2423
bus_3282,1072,4315
bus_2080,-476,-3517
bus_3432,-1221,5429
bus_4277,-1862,-2484
bus_3596,-1553,6892
bus_5222,546,-6661
bus_1555,1451,-458
bus_1282,989,-639
bus_4080,-969,-3162
bus_2190,736,-2406
bus_4322,-1850,-2218
bus_2306,339,-3574
bus_2264,1031,-3962
bus_1527,1873,2274
bus_3563,-92,2939
bus_4032,-2369,-1377
bus_1293,2279,-1561
bus_4426,-2020,-3653
bus_5114,1075,-5837
bus_5169,1051,-5654
bus_3477,-1022,4658
bus_4255,-2167,-3336
bus_1468,118,641
bus_1474,2182,2350
bus_4469,-1639,-2861
bus_2008,148,-4380
bus_3025,162,3854
bus_2143,1253,-4202
bus_1315,695,-1458
bus_1115,1161,1128
bus_3164,-1247,5882
bus_3108,-693,5928
bus_4197,-2609,-831
bus_1618,2796,2885
bus_2309,1443,-4803
bus_4076,-943,-2787
bus_1238,1931,-1833
bus_4127,-2654,-894
bus_3048,-553,3019
bus_3080,-1426,7042
bus_4008,-2595,-596
bus_3034,-1239,4414
bus_1392,2133,2144
bus_3609,516,3511
bus_3159,-655,6010
bus_3397,-1728,2079
bus_4224,-973,-2291
bus_3441,-1443,2173
bus_5120,1056,-5668
starbus_xf_2200_2196_2304_3,-277,-2958
bus_1240,374,-435
bus_2162,237,-3162
bus_4382,-2428,-2099
bus_3224,-1321,7107
bus_5075,1603,-5786
starbus_xf_3413_3415_3414_2,-187,2958
bus_1137,2600,-1798
bus_3597,-1564,6890
bus_4039,-2452,-1688
bus_1591,2140,2475
bus_4332,-2030,-3754
bus_3243,-629,6039
bus_3643,-1160,6857
bus_2266,42,-3609
bus_2081,-490,-3510
bus_3089,-1650,7315
bus_1113,1263,-2064
bus_4026,-2919,-1065
bus_1105,985,-570
bus_5028,435,-6210
bus_3251,-1899,5093
bus_1048,733,-1490
bus_1543,198,980
bus_1453,952,1463
bus_2097,453,-4193
bus_1158,1136,-1159
bus_4342,-1640,-2952
bus_1154,1751,-1387
bus_4285,-1784,-2602
bus_4020,-2827,-1995
starbus_xf_3302_3304_3303_2,66,3102
bus_1463,703,849
bus_1349,1492,-482
bus_1187,37,680
bus_1142,1349,2391
bus_1269,1296,-332
bus_1050,788,582
bus_1604,1498,-532
bus_1416,1700,1483
bus_3353,-386,2501
bus_1032,1292,-309
bus_4029,-2227,-2760
bus_3049,-551,3089
bus_1341,294,913
bus_1001,-268,-685
bus_3199,-961,6663
bus_1190,529,439
bus_3140,-1156,6759
bus_5092,997,-6215
bus_3422,-963,4900
bus_2114,860,-3472
bus_1053,1057,-928
bus_4452,-2117,-2487
bus_2213,97,-3966
bus_4346,-3660,-1696
bus_5124,423,-5742
starbus_xf_4104_4045_4046_4,-2402,-1656
starbus_xf_2191_2031_2022_5,740,-1889
bus_3542,-1363,4082
bus_4424,-1938,-3768
bus_1148,1369,-1490
bus_4166,-3848,-1764
bus_1347,2504,2612
bus_1285,2296,2442
bus_3319,-611,4070
bus_5012,1636,-5524
bus_3404,-1277,2249
bus_4133,-2072,-2841
bus_3078,-1084,6940
starbus_xf_1273_1572_1573_2,2120,2328
bus_2109,224,-3741
bus_5141,1060,-5659
bus_1225,2666,-1661
bus_1624,-566,379
bus_5236,423,-6111
bus_2242,1398,-4306
bus_4125,-2074,-2389
bus_2196,-491,-2732
bus_2200,-277,-2958
bus_3395,-969,3656
bus_1244,482,-493
bus_5208,643,-6447
bus_5068,383,-5832
bus_2074,-14,-3759
bus_3370,-508,4387
bus_4017,-3070,-1848
bus_4320,-1945,-2363
bus_2079,-465,-3534
bus_4325,-1886,-1930
bus_1038,1364,-1619
bus_4420,-2382,-2515
bus_3557,-833,5026
bus_4136,-2015,-2389
bus_3586,-576,4901
bus_2041,460,-4211
bus_3253,-1400,2824
bus_3267,-972,7187
bus_3220,-1791,4951
starbus_xf_1296_1504_1505_2,629,-1107
bus_4085,-2465,-1810
bus_5065,1501,-5533
bus_4371,-2321,-1420
bus_3192,-976,3255
starbus_xf_3413_3415_3414_1,-187,2958
starbus_xf_2191_2025_2026_2,740,-1889
bus_2284,935,-3619
bus_4016,-3064,-1874
bus_3407,-1530,6296
bus_4456,-2245,-2834
bus_5030,1311,-6355
bus_1612,2233,2144
bus_2151,-210,-3519
bus_3096,-1013,6597
bus_2028,749,-1979
bus_3493,-398,5494
bus_5046,1861,-5958
bus_3561,-1250,6362
bus_3160,-782,5815
bus_4487,-2070,-4112
bus_3611,-954,4846
bus_3145,-1616,7306
bus_1006,762,864
starbus_xf_1118_1042_1043_3,1300,-1557
bus_4002,-2616,-1803
bus_4206,-1840,-1583
bus_3186,-1553,4615
bus_1201,1053,1146
bus_4229,-2143,-896
bus_4500,-2424,-1109
bus_5041,949,-5712
bus_4110,-2493,-1830
bus_1147,519,545
bus_5121,1133,-5863
starbus_xf_5087_5175_5176_3,1139,-6349
bus_2218,407,-4312
bus_3276,-942,6940
bus_4458,-2045,-2244
bus_1219,1322,-618
bus_3334,-1391,3478
bus_2273,849,-3735
bus_3452,-879,6634
bus_1377,-466,-304
bus_4339,-1757,-2733
bus_1218,-52,1424
bus_4147,-1685,-2651
bus_2034,1337,-4187
bus_3535,484,3585
bus_5180,466,-5914
bus_4478,-1922,-2096
bus_1124,697,535
bus_4444,-2351,-3218
bus_1524,-46,1448
bus_5181,443,-5908
bus_3142,-1072,6873
bus_3035,-1309,4480
bus_4236,-2396,-2385
bus_4465,-1608,-3485
bus_2177,193,-3623
bus_4300,-1720,-2576
bus_1433,263,-555
bus_2265,77,-4396
bus_1557,844,1491
bus_4366,-2772,-1272
bus_2042,690,-4332
bus_1308,863,-2112
bus_3171,-866,2904
bus_1017,1001,674
bus_2160,325,-3872
bus_2170,805,-3201
bus_1528,1203,-624
bus_1083,989,-1679
bus_5204,1418,-6149
bus_4468,-1452,-3242
bus_3195,-1417,6057
bus_4246,-1996,-3550
starbus_xf_1118_1040_1041_2,1300,-1557
bus_1079,1451,-1534
bus_3442,-175,4565
starbus_xf_4257_4379_4434_1,-2063,-3911
bus_3070,-696,6159
bus_3540,1432,4487
bus_4335,-1901,-3129
bus_1033,960,-1530
starbus_xf_2145_2243_2306_3,326,-3443
bus_1054,320,-3090
bus_4411,-2096,-2617
bus_3386,-1347,2481
bus_3044,-973,5330
bus_1127,433,-576
bus_4058,-2044,-2666
bus_1403,287,140
bus_3085,-1460,7399
bus_4495,-2187,-796
bus_4037,-2715,-2741
bus_2283,132,-4155
bus_4023,-3049,-1272
bus_4312,-1586,-2960
bus_3652,228,2866
bus_4220,-898,-2745
bus_3173,-1258,4095
bus_1060,2211,-1861
starbus_xf_3177_3179_3178_2,-1249,2385
bus_3123,-1272,2398
bus_1173,2300,2524
bus_1655,-601,473
bus_4035,-2721,-2716
bus_5044,1992,-5708
bus_4461,-2012,-2461
starbus_xf_1092_1093_1526_2,703,257
bus_1287,641,962
bus_1320,1005,-407
bus_3427,-55,3789
bus_5000,1877,-5949
bus_2001,32,-4157
bus_3479,-1013,3992
bus_2303,-404,-2893
bus_4044,-2437,-1620
bus_2274,860,-3741
bus_3071,-1507,6335
bus_1104,1748,2235
bus_3222,-945,3336
bus_3659,-586,6101
bus_1445,808,963
bus_4287,-1760,-2851
bus_1292,863,-2165
bus_5122,507,-5712
bus_2324,970,-3337
bus_1414,867,-1501
bus_2003,992,-3064
bus_2286,275,-3385
bus_3118,-434,5577
starbus_xf_4166_4356_4491_3,-3848,-1764
bus_3332,-2094,6974
bus_1089,1860,1245
bus_1332,639,19
bus_1109,1063,2437
bus_3434,619,3536
bus_1274,925,-1481
bus_1192,1626,1705
bus_1418,-396,-263
bus_3154,631,4150
bus_4286,-1730,-2741
bus_5077,1415,-6262
bus_3263,-1368,4590
bus_1638,1531,1700
bus_1357,-1074,1989
bus_1198,528,664
bus_2171,782,-3231
bus_3122,-1335,5018
bus_3193,-1046,3295
bus_1311,968,-1737
bus_3298,-66,5611
bus_4372,-2924,-1824
starbus_xf_2191_2023_2024_1,740,-1889
bus_4368,-2979,-1308
starbus_xf_2077_2205_2346_2,-409,-3284
bus_4144,-2706,-1816
bus_3240,-1445,7178
bus_4104,-2402,-1656
bus_4228,-2150,-1130
bus_4387,-1394,-1914
bus_4292,-2134,-3081
bus_3560,-587,3475
bus_4403,-3248,-1756
bus_1592,926,1474
bus_1428,156,-160
bus_2089,1182,-1830
bus_4183,-2652,-1307
bus_2220,393,-3482
bus_4340,-1008,-2283
bus_3355,-253,3222
bus_2202,721,-4255
bus_2346,-392,-3198
bus_1015,2802,2320
bus_3112,-955,5932
bus_3113,-929,5934
bus_1041,1354,-1585
bus_3189,-1369,7106
bus_3302,66,3102
bus_3584,-1503,6658
bus_4062,-1815,-2614
bus_3081,-1452,7139
bus_5070,778,-5332
bus_4343,-2613,-2221
bus_1134,406,416
bus_4213,-1378,-1956
bus_3143,-1621,7237
bus_1583,822,-2180
bus_5008,1267,-5579
bus_1145,1363,1597
bus_3565,-560,5289
bus_3033,-1500,5135
bus_4198,-2700,-678
bus_2026,792,-1904
starbus_xf_2195_2293_2332_2,713,-2244
bus_2280,149,-4060
bus_3320,-614,4125
bus_3132,-1095,3285
bus_4419,-2569,-2611
bus_1042,1307,-1628
bus_4065,-1769,-2584
bus_1070,848,-2033
bus_3306,-1608,2122
bus_2066,1381,-4708
bus_1456,1663,1434
bus_1631,2122,2243
bus_1516,467,-53
bus_1333,735,61
bus_1554,2279,1953
bus_3076,-947,6840
bus_5184,565,-5918
bus_4431,-1978,-3523
bus_4481,-1853,-2061
bus_4177,-2135,-1327
bus_3554,-869,4570
bus_2075,-33,-3732
bus_3262,-1234,5910
bus_1296,629,-1107
bus_1257,731,1347
starbus_xf_4038_4034_4033_3,-2644,-2675
bus_2291,669,-4017
bus_5183,535,-5915
bus_4380,-2074,-2338
bus_3490,-422,3036
bus_3177,-1249,2385
bus_1061,970,-1623
bus_1191,313,384
